Underwriting YoA,Processing Month,Gross Premiums Received,Gross Paid Claims,Gross Incurred Claims,,Process year,Process month,Development period,Premiums received - censored,Paid claims - censored,Incurred claims - censored
2013,201301,"322,983",0,0,,2013,1,1,"322,983",0,0
2013,201302,"5,083,516","112,500","112,500",,2013,2,2,"5,083,516","112,500","112,500"
2013,201303,"8,812,441","124,813","183,023",,2013,3,3,"8,812,441","124,813","183,023"
2013,201304,"12,751,060","153,152","259,558",,2013,4,4,"12,751,060","153,152","259,558"
2013,201305,"13,346,743","199,386","509,828",,2013,5,5,"13,346,743","199,386","509,828"
2013,201306,"15,993,573","371,695","759,277",,2013,6,6,"15,993,573","371,695","759,277"
2013,201307,"17,618,810","558,040","1,115,204",,2013,7,7,"17,618,810","558,040","1,115,204"
2013,201308,"20,333,060","967,848","1,832,746",,2013,8,8,"20,333,060","967,848","1,832,746"
2013,201309,"22,002,371","1,277,353","3,068,456",,2013,9,9,"22,002,371","1,277,353","3,068,456"
2013,201310,"23,991,350","2,625,446","7,017,086",,2013,10,10,"23,991,350","2,625,446","7,017,086"
2013,201311,"27,751,423","2,883,994","7,436,945",,2013,11,11,"27,751,423","2,883,994","7,436,945"
2013,201312,"29,622,534","4,001,752","8,606,379",,2013,12,12,"29,622,534","4,001,752","8,606,379"
2013,201401,"32,191,017","4,283,123","7,487,114",,2014,1,13,"32,191,017","4,283,123","7,487,114"
2013,201402,"34,410,535","5,202,063","8,549,561",,2014,2,14,"34,410,535","5,202,063","8,549,561"
2013,201403,"36,561,450","5,837,197","9,344,216",,2014,3,15,"36,561,450","5,837,197","9,344,216"
2013,201404,"38,949,612","6,822,248","10,885,200",,2014,4,16,"38,949,612","6,822,248","10,885,200"
2013,201405,"40,884,665","7,484,739","11,853,156",,2014,5,17,"40,884,665","7,484,739","11,853,156"
2013,201406,"42,243,166","8,454,242","12,466,380",,2014,6,18,"42,243,166","8,454,242","12,466,380"
2013,201407,"44,294,756","9,003,087","13,561,164",,2014,7,19,"44,294,756","9,003,087","13,561,164"
2013,201408,"45,232,258","9,639,517","14,567,469",,2014,8,20,"45,232,258","9,639,517","14,567,469"
2013,201409,"46,398,802","11,131,810","15,432,746",,2014,9,21,"46,398,802","11,131,810","15,432,746"
2013,201410,"48,569,422","12,273,968","16,702,028",,2014,10,22,"48,569,422","12,273,968","16,702,028"
2013,201411,"49,333,352","12,584,050","16,606,548",,2014,11,23,"49,333,352","12,584,050","16,606,548"
2013,201412,"50,580,042","13,447,315","17,579,265",,2014,12,24,"50,580,042","13,447,315","17,579,265"
2013,201501,"51,109,657","13,829,838","18,053,889",,2015,1,25,"51,109,657","13,829,838","18,053,889"
2013,201502,"51,593,285","14,757,924","18,753,905",,2015,2,26,"51,593,285","14,757,924","18,753,905"
2013,201503,"52,761,633","15,409,752","18,869,535",,2015,3,27,"52,761,633","15,409,752","18,869,535"
2013,201504,"52,799,879","16,157,438","19,702,605",,2015,4,28,"52,799,879","16,157,438","19,702,605"
2013,201505,"52,784,193","16,983,419","20,003,372",,2015,5,29,"52,784,193","16,983,419","20,003,372"
2013,201506,"53,214,864","17,403,454","20,950,432",,2015,6,30,"53,214,864","17,403,454","20,950,432"
2013,201507,"53,501,444","18,078,862","21,597,067",,2015,7,31,"53,501,444","18,078,862","21,597,067"
2013,201508,"53,828,788","18,659,279","21,888,273",,2015,8,32,"53,828,788","18,659,279","21,888,273"
2013,201509,"53,817,003","18,528,513","21,669,313",,2015,9,33,"53,817,003","18,528,513","21,669,313"
2013,201510,"53,510,496","18,703,240","22,144,025",,2015,10,34,"53,510,496","18,703,240","22,144,025"
2013,201511,"53,466,006","18,882,174","22,471,190",,2015,11,35,"53,466,006","18,882,174","22,471,190"
2013,201512,"53,555,346","19,304,416","22,466,988",,2015,12,36,"53,555,346","19,304,416","22,466,988"
2013,201601,"53,567,553","19,481,446","22,535,259",,2016,1,37,"53,567,553","19,481,446","22,535,259"
2013,201602,"53,583,020","19,630,267","22,498,453",,2016,2,38,"53,583,020","19,630,267","22,498,453"
2013,201603,"53,608,819","19,810,061","22,611,471",,2016,3,39,"53,608,819","19,810,061","22,611,471"
2013,201604,"53,638,795","19,847,457","22,653,670",,2016,4,40,"53,638,795","19,847,457","22,653,670"
2013,201605,"53,630,330","20,015,211","22,746,895",,2016,5,41,"53,630,330","20,015,211","22,746,895"
2013,201606,"53,590,474","20,024,855","22,660,945",,2016,6,42,"53,590,474","20,024,855","22,660,945"
2013,201607,"53,593,728","20,355,045","22,674,640",,2016,7,43,"53,593,728","20,355,045","22,674,640"
2013,201608,"53,594,516","20,580,888","22,811,380",,2016,8,44,"53,594,516","20,580,888","22,811,380"
2013,201609,"53,595,571","20,666,433","22,764,346",,2016,9,45,"53,595,571","20,666,433","22,764,346"
2013,201610,"53,685,460","20,731,381","22,608,762",,2016,10,46,"53,685,460","20,731,381","22,608,762"
2013,201611,"53,604,982","20,823,818","22,562,302",,2016,11,47,"53,604,982","20,823,818","22,562,302"
2013,201612,"53,617,097","20,914,999","22,586,879",,2016,12,48,"53,617,097","20,914,999","22,586,879"
2013,201701,"53,584,037","20,922,749","22,343,285",,2017,1,49,"53,584,037","20,922,749","22,343,285"
2013,201702,"53,591,945","21,105,841","22,322,502",,2017,2,50,"53,591,945","21,105,841","22,322,502"
2013,201703,"53,596,927","21,122,431","22,330,182",,2017,3,51,"53,596,927","21,122,431","22,330,182"
2013,201704,"53,385,656","21,140,731","22,460,708",,2017,4,52,"53,385,656","21,140,731","22,460,708"
2013,201705,"53,515,182","21,288,996","22,562,529",,2017,5,53,"53,515,182","21,288,996","22,562,529"
2013,201706,"53,510,028","21,294,942","22,548,881",,2017,6,54,"53,510,028","21,294,942","22,548,881"
2013,201707,"53,520,400","21,506,043","22,665,350",,2017,7,55,"53,520,400","21,506,043","22,665,350"
2013,201708,"53,440,068","21,532,392","22,688,224",,2017,8,56,"53,440,068","21,532,392","22,688,224"
2013,201709,"53,439,639","21,526,132","22,680,747",,2017,9,57,"53,439,639","21,526,132","22,680,747"
2013,201712,"53,310,131","21,625,972","22,735,758",,2017,12,60,"53,310,131","21,625,972","22,735,758"
2014,201401,"429,263",0,0,,2014,1,1,"429,263",0,0
2014,201402,"3,664,094",0,433,,2014,2,2,"3,664,094",0,433
2014,201403,"9,070,001","4,663","14,894",,2014,3,3,"9,070,001","4,663","14,894"
2014,201404,"9,807,319","41,217","95,591",,2014,4,4,"9,807,319","41,217","95,591"
2014,201405,"12,577,434","88,016","200,019",,2014,5,5,"12,577,434","88,016","200,019"
2014,201406,"14,233,825","358,287","538,744",,2014,6,6,"14,233,825","358,287","538,744"
2014,201407,"17,366,342","697,917","919,686",,2014,7,7,"17,366,342","697,917","919,686"
2014,201408,"19,848,826","773,569","969,792",,2014,8,8,"19,848,826","773,569","969,792"
2014,201409,"22,048,733","1,088,687","2,723,357",,2014,9,9,"22,048,733","1,088,687","2,723,357"
2014,201410,"24,676,600","1,477,936","3,267,343",,2014,10,10,"24,676,600","1,477,936","3,267,343"
2014,201411,"26,503,386","1,599,831","3,407,944",,2014,11,11,"26,503,386","1,599,831","3,407,944"
2014,201412,"28,717,798","1,983,457","5,354,752",,2014,12,12,"28,717,798","1,983,457","5,354,752"
2014,201501,"30,843,766","2,387,647","5,460,818",,2015,1,13,"30,843,766","2,387,647","5,460,818"
2014,201502,"33,350,535","3,663,583","7,023,747",,2015,2,14,"33,350,535","3,663,583","7,023,747"
2014,201503,"35,592,003","4,597,111","7,316,820",,2015,3,15,"35,592,003","4,597,111","7,316,820"
2014,201504,"37,281,168","5,575,191","8,403,875",,2015,4,16,"37,281,168","5,575,191","8,403,875"
2014,201505,"38,928,053","6,355,885","9,189,445",,2015,5,17,"38,928,053","6,355,885","9,189,445"
2014,201506,"40,331,163","7,131,460","9,965,836",,2015,6,18,"40,331,163","7,131,460","9,965,836"
2014,201507,"41,579,499","7,977,821","10,753,916",,2015,7,19,"41,579,499","7,977,821","10,753,916"
2014,201508,"43,114,241","9,232,363","11,509,100",,2015,8,20,"43,114,241","9,232,363","11,509,100"
2014,201509,"43,985,858","10,430,772","13,154,525",,2015,9,21,"43,985,858","10,430,772","13,154,525"
2014,201510,"45,910,175","12,047,907","15,025,730",,2015,10,22,"45,910,175","12,047,907","15,025,730"
2014,201511,"46,653,070","13,760,905","16,112,966",,2015,11,23,"46,653,070","13,760,905","16,112,966"
2014,201512,"47,092,556","14,102,998","16,756,258",,2015,12,24,"47,092,556","14,102,998","16,756,258"
2014,201601,"47,217,286","14,671,679","18,042,007",,2016,1,25,"47,217,286","14,671,679","18,042,007"
2014,201602,"47,434,267","15,119,760","18,844,068",,2016,2,26,"47,434,267","15,119,760","18,844,068"
2014,201603,"47,659,296","15,528,611","19,084,337",,2016,3,27,"47,659,296","15,528,611","19,084,337"
2014,201604,"47,853,735","15,857,003","19,393,678",,2016,4,28,"47,853,735","15,857,003","19,393,678"
2014,201605,"48,293,316","16,595,225","19,972,227",,2016,5,29,"48,293,316","16,595,225","19,972,227"
2014,201606,"48,555,336","16,969,213","20,501,983",,2016,6,30,"48,555,336","16,969,213","20,501,983"
2014,201607,"48,677,946","17,139,188","20,266,220",,2016,7,31,"48,677,946","17,139,188","20,266,220"
2014,201608,"48,749,608","17,576,821","25,076,450",,2016,8,32,"48,749,608","17,576,821","20,523,110"
2014,201609,"48,877,877","18,129,304","20,783,452",,2016,9,33,"48,877,877","18,129,304","20,783,452"
2014,201610,"49,085,985","18,517,718","20,850,143",,2016,10,34,"49,085,985","18,517,718","20,850,143"
2014,201611,"49,197,790","19,142,982","21,314,926",,2016,11,35,"49,197,790","19,142,982","21,314,926"
2014,201612,"49,237,542","19,239,497","21,346,720",,2016,12,36,"49,237,542","19,239,497","21,346,720"
2014,201701,"49,234,299","19,350,580","21,350,334",,2017,1,37,"49,234,299","19,350,580","21,350,334"
2014,201702,"49,317,842","19,420,672","21,331,634",,2017,2,38,"49,317,842","19,420,672","21,331,634"
2014,201703,"49,325,843","19,606,098","21,428,109",,2017,3,39,"49,325,843","19,606,098","21,428,109"
2014,201704,"49,308,824","19,682,519","21,467,750",,2017,4,40,"49,308,824","19,682,519","21,467,750"
2014,201705,"49,339,200","19,704,006","21,382,902",,2017,5,41,"49,339,200","19,704,006","21,382,902"
2014,201706,"49,364,121","19,793,319","21,534,283",,2017,6,42,"49,364,121","19,793,319","21,534,283"
2014,201707,"49,367,282","20,060,281","21,581,489",,2017,7,43,"49,367,282","20,060,281","21,581,489"
2014,201708,"49,460,784","20,168,708","21,578,314",,2017,8,44,"49,460,784","20,168,708","21,578,314"
2014,201709,"49,467,111","20,200,774","21,607,076",,2017,9,45,"49,467,111","20,200,774","21,607,076"
2014,201712,"49,666,802","20,480,758","21,814,915",,2017,12,48,"49,666,802","20,480,758","21,814,915"
2015,201501,"273,587","1,960","1,960",,2015,1,1,"273,587","1,960","1,960"
2015,201502,"6,350,506","16,208","16,208",,2015,2,2,"6,350,506","16,208","16,208"
2015,201503,"7,990,355","23,528","23,528",,2015,3,3,"7,990,355","23,528","23,528"
2015,201504,"9,695,011","56,876","397,588",,2015,4,4,"9,695,011","56,876","397,588"
2015,201505,"12,016,329","313,208","417,307",,2015,5,5,"12,016,329","313,208","417,307"
2015,201506,"13,445,556","407,098","870,758",,2015,6,6,"13,445,556","407,098","870,758"
2015,201507,"15,882,387","625,755","1,496,336",,2015,7,7,"15,882,387","625,755","1,496,336"
2015,201508,"18,896,115","760,768","1,899,844",,2015,8,8,"18,896,115","760,768","1,899,844"
2015,201509,"20,951,776","1,398,401","3,858,497",,2015,9,9,"20,951,776","1,398,401","3,858,497"
2015,201510,"23,468,360","2,324,353","4,751,811",,2015,10,10,"23,468,360","2,324,353","4,751,811"
2015,201511,"25,983,343","2,770,586","5,336,823",,2015,11,11,"25,983,343","2,770,586","5,336,823"
2015,201512,"28,159,003","3,654,319","6,767,157",,2015,12,12,"28,159,003","3,654,319","6,767,157"
2015,201601,"29,965,226","4,195,765","7,170,687",,2016,1,13,"29,965,226","4,195,765","7,170,687"
2015,201602,"31,566,795","4,818,285","7,787,018",,2016,2,14,"31,566,795","4,818,285","7,787,018"
2015,201603,"35,087,658","6,725,715","9,297,143",,2016,3,15,"35,087,658","6,725,715","9,297,143"
2015,201604,"36,650,943","7,091,523","9,674,942",,2016,4,16,"36,650,943","7,091,523","9,674,942"
2015,201605,"37,327,405","7,667,665","10,184,319",,2016,5,17,"37,327,405","7,667,665","10,184,319"
2015,201606,"38,587,679","7,924,457","10,340,450",,2016,6,18,"38,587,679","7,924,457","10,340,450"
2015,201607,"39,528,022","8,594,791","10,756,159",,2016,7,19,"39,528,022","8,594,791","10,756,159"
2015,201608,"40,680,224","8,951,172","11,324,247",,2016,8,20,"40,680,224","8,951,172","11,324,247"
2015,201609,"41,569,751","9,210,197","11,586,674",,2016,9,21,"41,569,751","9,210,197","11,586,674"
2015,201610,"42,775,155","9,672,317","11,968,393",,2016,10,22,"42,775,155","9,672,317","11,968,393"
2015,201611,"43,164,987","10,314,138","12,782,999",,2016,11,23,"43,164,987","10,314,138","12,782,999"
2015,201612,"43,934,895","10,642,198","12,965,060",,2016,12,24,"43,934,895","10,642,198","12,965,060"
2015,201701,"44,346,749","11,107,037","13,485,513",,2017,1,25,"44,346,749","11,107,037","13,485,513"
2015,201702,"44,737,051","11,436,003","13,847,230",,2017,2,26,"44,737,051","11,436,003","13,847,230"
2015,201703,"45,067,300","11,688,378","15,275,500",,2017,3,27,"45,067,300","11,688,378","15,275,500"
2015,201704,"45,175,491","11,913,475","15,404,439",,2017,4,28,"45,175,491","11,913,475","15,404,439"
2015,201705,"45,317,185","12,413,423","15,902,249",,2017,5,29,"45,317,185","12,413,423","15,902,249"
2015,201706,"45,196,798","12,627,112","16,152,478",,2017,6,30,"45,196,798","12,627,112","16,152,478"
2015,201707,"45,456,545","13,196,155","16,722,160",,2017,7,31,"45,456,545","13,196,155","16,722,160"
2015,201708,"45,559,042","13,558,727","17,061,216",,2017,8,32,"45,559,042","13,558,727","17,061,216"
2015,201709,"45,614,302","14,144,553","17,634,945",,2017,9,33,"45,614,302","14,144,553","17,634,945"
2015,201712,"46,895,051","15,272,204","18,289,966",,2017,12,36,"46,895,051","15,272,204","18,289,966"
2016,201601,"188,806","21,443","21,443",,2016,1,1,"188,806","21,443","21,443"
2016,201602,"4,992,894","29,074","60,130",,2016,2,2,"4,992,894","29,074","60,130"
2016,201603,"6,578,719","64,746","115,003",,2016,3,3,"6,578,719","64,746","115,003"
2016,201604,"8,802,753","95,592","180,221",,2016,4,4,"8,802,753","95,592","180,221"
2016,201605,"10,685,937","202,753","311,315",,2016,5,5,"10,685,937","202,753","311,315"
2016,201606,"12,302,122","293,918","402,268",,2016,6,6,"12,302,122","293,918","402,268"
2016,201607,"16,527,614","434,659","688,563",,2016,7,7,"16,527,614","434,659","688,563"
2016,201608,"18,590,920","932,462","1,372,081",,2016,8,8,"18,590,920","932,462","1,372,081"
2016,201609,"25,479,747","1,486,359","2,445,388",,2016,9,9,"20,425,496","1,486,359","2,445,388"
2016,201610,"22,452,988","1,615,246","2,644,478",,2016,10,10,"22,452,988","1,615,246","2,644,478"
2016,201611,"24,820,850","1,959,612","5,703,228",,2016,11,11,"24,820,850","1,959,612","5,703,228"
2016,201612,"27,278,453","2,633,750","6,485,711",,2016,12,12,"27,278,453","2,633,750","6,485,711"
2016,201701,"29,563,681","2,802,108","7,261,015",,2017,1,13,"29,563,681","2,802,108","7,261,015"
2016,201702,"31,326,632","3,558,969","8,453,855",,2017,2,14,"31,326,632","3,558,969","8,453,855"
2016,201703,"33,573,013","4,686,163","9,519,276",,2017,3,15,"33,573,013","4,686,163","9,519,276"
2016,201704,"34,928,123","5,248,684","11,706,128",,2017,4,16,"34,928,123","5,248,684","11,706,128"
2016,201705,"36,845,346","6,119,686","11,953,533",,2017,5,17,"36,845,346","6,119,686","11,953,533"
2016,201706,"37,859,542","6,569,760","12,423,675",,2017,6,18,"37,859,542","6,569,760","12,423,675"
2016,201707,"38,691,662","7,939,955","13,394,730",,2017,7,19,"38,691,662","7,939,955","13,394,730"
2016,201708,"40,013,895","8,560,071","13,911,421",,2017,8,20,"40,013,895","8,560,071","13,911,421"
2016,201709,"40,906,860","9,955,898","13,949,757",,2017,9,21,"40,906,860","9,955,898","13,949,757"
2016,201712,"44,186,990","11,799,686","17,888,478",,2017,12,24,"44,186,990","11,799,686","17,888,478"
2017,201701,"323,277","11,655","20,425",,2017,1,1,"323,277","11,655","20,425"
2017,201702,"4,745,863","28,025","47,587",,2017,2,2,"4,745,863","28,025","47,587"
2017,201703,"6,467,620","101,185","173,139",,2017,3,3,"6,467,620","101,185","173,139"
2017,201704,"7,249,042","136,141","262,230",,2017,4,4,"7,249,042","136,141","262,230"
2017,201705,"9,699,436","147,393","334,306",,2017,5,5,"9,699,436","147,393","334,306"
2017,201706,"12,050,793","384,807","687,749",,2017,6,6,"12,050,793","384,807","687,749"
2017,201707,"14,246,337","603,797","1,011,248",,2017,7,7,"14,246,337","603,797","1,011,248"
2017,201708,"18,118,460","855,912","1,397,151",,2017,8,8,"18,118,460","855,912","1,397,151"
2017,201709,"19,887,995","1,269,396","1,772,532",,2017,9,9,"19,887,995","1,269,396","1,772,532"
2017,201712,"26,731,635","2,642,138","3,930,626",,2017,12,12,"26,731,635","2,642,138","3,930,626"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
